role,category_label,template
GK,Bereits Anbieter / System vorhanden,TODO: GK pitch for "already has provider/system"
GK,Zentralisierte Entscheidung / Hauptstelle zuständig,TODO: GK pitch for "central decision / head office"
GK,Kein Interesse / kein Bedarf,TODO: GK pitch for "no interest / no need"
GK,Rahmenverträge / Anbieterbindung,TODO: GK pitch for "framework contracts / vendor lock-in"
GK,Falsche Organisation / Zentrale zuständig,TODO: GK pitch for "wrong org / central office"
GK,Kontakt verweigert / keine Durchstellung,TODO: GK pitch for "refused transfer / no connection"
GK,Kein Budget / Verwaltung macht das,TODO: GK pitch for "no budget / admin decides"
GK,Entscheider abwesend,TODO: GK pitch for "decision maker absent"
GK,Technische / organisatorische Barrieren,TODO: GK pitch for "technical/organizational barriers"
GK,Späterer Kontakt gewünscht,TODO: GK pitch for "call later"
GK,Other/Unclear,TODO: GK pitch for "other/unclear"
DM,Kein Bedarf / kein Interesse,TODO: DM pitch for "no need / no interest"
DM,Schlechtes Timing / keine Zeit,TODO: DM pitch for "bad timing / no time"
DM,Falscher Ansprechpartner,TODO: DM pitch for "wrong contact / forward internally"
DM,Ansprechpartner abwesend / Urlaub,TODO: DM pitch for "absent/holiday"
DM,Entscheidung zentralisiert,TODO: DM pitch for "central decision"
DM,Bereits Anbieter / System vorhanden,TODO: DM pitch for "already has provider/system"
DM,Kein Budget / zu teuer,TODO: DM pitch for "no budget / too expensive"
DM,Unklare Zuständigkeit,TODO: DM pitch for "unclear responsibility"
DM,Interne Umstellung / keine Kapazitäten,TODO: DM pitch for "internal change / no capacity"
DM,Technische / organisatorische Barrieren,TODO: DM pitch for "technical/organizational barriers"
DM,Other/Unclear,TODO: DM pitch for "other/unclear"

