cluster_id,row_id,who_reached,phone,campaign_name,reason_core,reason_free_text,outcome_free_text,confidence,evidence_json
0,87d2dc1ba31d9866148c68f6f4810a7db5801df7,,+4952222399036,DEXTER  PLZ 3+6,already has provider,already has provider,no sale,0.9,"{""quote"": ""wir haben aber schon einen Anbieter""}"
0,f5f5b7ea68647aa0dc4584f26e8d2941bc6bb643,,+4924521070,Dexter  PLZ 4-9,already have new software,already have new software,no sale,0.95,"{""quote"": ""haben wir sowas schon.""}"
0,9fdbd5b84626b5e981b39e4633b05c5ea531dbe2,,+495118401191,DEXTER  PLZ 3+6,already have own software,already have own software,no sale,0.95,"{""quote"": ""Brauchen wir nicht, wir haben eine eigene Software""}"
0,16218681f059c9d05bb64262c55109e415539a25,,+4952194239412,DEXTER  PLZ 3+6,already have solution,already have solution,no sale,0.9,"{""quote"": ""Ne, danke, wir haben schon.""}"
0,5270985470c7255762692559655dbc486a77e7cc,,+4991191967302,DEXTER  PLZ 9,already have solution,already have solution; framework contracts,no sale,0.9,"{""quote"": ""brauchen wir nicht, haben wir alles schon, Rahmenverträge.""}"
0,63e3ef813043ffa78ebeff99bc951404e76bee55,,+492161927960,DEXTER  PLZ 4+5,already have solution,already have solution,no sale,0.9,"{""quote"": ""Da sind wir schon mit aufgestellt, da haben wir auch keinen Bedarf.""}"
0,e920a6faaac04b86f1dc6ae3f371a3033f339753,,+49921757630,Dexter  PLZ 4-9,already have solution,already have solution,no sale,0.9,"{""quote"": ""Ja, da haben wir schon was""}"
0,ea99e7e7ac1e3cf7a72504556be3e713789bb09d,,+49721597240,DEXTER  PLZ 7,already have solution,already have solution,no sale,0.9,"{""quote"": ""Brauchen wir nicht. Wir sind versorgt.""}"
0,7c7bf3bbc7cf8bed8876ab4c7dd3fefb93fca456,,+49713192140,DEXTER  PLZ 7,already implementing,already implementing; no need,no sale,0.9,"{""quote"": ""Wir sind jetzt immer dran, das umzusetzen.""}"
0,18ca505088493a1f816c817c4300f1d9b4d5f739,,+495031912044,DEXTER  PLZ 3+6,already implementing another system,already implementing another system,no interest,0.9,"{""quote"": ""Weil wir das im ganzen Unternehmen gerade implementieren.""}"
0,006c5c21881f538da1305c17ea95213524eb8e2a,,+495247925612,DEXTER  PLZ 3+6,already implementing new care software,already implementing new care software,no sale,0.9,"{""quote"": ""Wir haben eine neue Pflegesoftware, die wir gerade einführen""}"
0,18aa8ceb3a4ed7de8f2087931dfc6bf82a1a72b9,,+49867199480,Dexter PLZ 1-2-8,already implementing system,already implementing system,no sale,0.9,"{""quote"": ""Wir kriegen mal bis Ende des Jahres selber über unser System.""}"
0,0ab725398079066c8c8145714acd94f1c267a175,,+49452470607333,Dexter PLZ 1-2-8,already in talks with provider,already in talks with provider,no sale,0.5,"{""quote"": ""Wir sind da schon mit unserem Anbieter in Gesprächen.""}"
0,1ed113d49dabae97421dfce7526532838307b2cc,,+4941552084,Dexter PLZ 1-2-8,already satisfied with current solution,already satisfied with current solution,no sale,0.9,"{""quote"": ""wir sind im Moment auch zufrieden mit dem, was wir schon haben.""}"
0,ae0fe30e706be023aa324eb31afb8efc7a0369e6,,+49613692222,DEXTER  PLZ 4+5,already using another program,already using another program,no sale,0.9,"{""quote"": ""Wir haben schon ein Programm, mit dem wir arbeiten.""}"
0,b73b98ef3e81606b7a418dfc42fc18f0c36379af,,+492219822571,DEXTER  PLZ 4+5,already using another provider,already using another provider,no sale,0.9,"{""quote"": ""Wir werden von Firma Sokura betreut.""}"
0,d596f925ef4d22a9faa7fbf443d6b0337b14a0bc,,+49719222930,DEXTER  PLZ 7,already using competitor,already using competitor,no sale,0.9,"{""quote"": ""Das ist nicht notwendig, weil wir das schon haben über die Firma Sinfonie.""}"
0,c74f8a41731624ab322d6d5a89a74032ee7820a1,,+49912218890,DEXTER  PLZ 9,already using existing software,already using existing software; satisfied,no sale,0.95,"{""quote"": ""Nein, da haben wir leider schon unsere Programme und alles, wir sind da echt rundum zufrieden.""}"
0,777a32beeae1dc0cd591c969209482728c15a90c,,+49205410300,Dexter  PLZ 4-9,already using similar system,already using similar system,no sale,0.9,"{""quote"": ""Ich weiß nur, dass wir sowas schon haben.""}"
0,41d6643d98823d785f09d4c7eff19b5683159906,,+496032301951,DEXTER  PLZ 3+6,existing system already in use,existing system already in use,no sale,0.9,"{""quote"": ""Vivendi bleibt auf jeden Fall so, wie es ist.""}"
0,4df30ad2dd174b37b2657a5d097ddb2939bd7224,,+4953615010,DEXTER  PLZ 3+6,implementation not planned,implementation not planned; far future,no appointment,0.9,"{""quote"": ""steht das sowieso noch nicht an, das ist noch ferne Zukunft.""}"
0,5490af8d8067d95817d5aea4f97f27a499346ab2,,+4957725640,DEXTER  PLZ 3+6,in implementation,in implementation; large software partner,no sale,0.9,"{""quote"": ""Wir haben da einen großen Softwarepartner""}"
0,d2fa7fad685ae5690de9e548fb638ce6311b042e,,+4939443623125,DEXTER  PLZ 3+6,recent implementation,recent implementation; no change planned,no sale,0.8,"{""quote"": ""neues Dokumentationsprogramm seit Oktober letzten Jahres""}"
0,a9f8089dc80e55ef40dabeaf8d4d056f491a9980,,+496227358390,DEXTER  PLZ 3+6,recent software change,recent software change; overloaded staff,callback requested,0.9,"{""quote"": ""wir sind gerade an unseren Grenzen""}"
0,b92d7a08c27d62136bdcf25d16fbfdde68f16839,,+49246490860,DEXTER  PLZ 4+5,recent system change,recent system change; not switching,no sale,0.9,"{""quote"": ""wir haben gerade erst umgestellt.""}"
0,d4a433ae5ee63401173275cd9aac10cbaaf2e2e6,,+4947466024,Dexter PLZ 1-2-8,recent system change,recent system change,no sale,0.85,"{""quote"": ""Haben wir gerade umgerüstet, also sind wir nicht daran interessiert.""}"
0,36b0fc50ae3e5350bc6d18d5cc571590d986d36e,,+499741840,DEXTER  PLZ 9,satisfied with current software,satisfied with current software,no sale,0.9,"{""quote"": ""Wir haben eine sehr gute Software und brauchen leider Ihr Angebot nicht.""}"
0,e094ecc7774c55a847398e898989b4e4244f815c,,+4952712303,DEXTER  PLZ 3+6,staying with current provider,staying with current provider,no sale,0.9,"{""quote"": ""wir würden da keinen neuen mit ins Boot nehmen.""}"
0,05e6caf6d11d9c45e404bb173927e7ccb7bd3f9b,,+497233679777,Dexter  PLZ 4-9,working with another provider,working with another provider,no sale,0.9,"{""quote"": ""wir sind da schon versorgt""}"
1,534fe8e6d5191c5da8378b1f7cb9e13d3b5719f4,,+492287673290,DEXTER  PLZ 4+5,doesn't offer care services,doesn't offer care services,no sale,0.9,"{""quote"": ""Nein, machen wir nicht.""}"
1,65bc64ef766e2bc157edbdb7b84e47b704942b97,,+4953213964000,DEXTER  PLZ 3+6,no nursing services,no nursing services,no sale,0.9,"{""quote"": ""Das hier betreutes Wohnen. Kein Pflegeheim.""}"
1,0d08923d9eea24b162842765b0f960042bd5664c,,+496221720022,DEXTER  PLZ 3+6,not a care facility,not a care facility,no sale,0.9,"{""quote"": ""Ja, aber wir sind keine Pflegeeinrichtung, tut mir leid.""}"
1,19dcb1e4d44d5dabce8a6498739617d3a92b506e,,+4941238082664,Dexter PLZ 1-2-8,not a care facility,not a care facility,no sale,0.9,"{""quote"": ""Aber Sie haben hier kein Heim, hier wohnt jeder für sich selber.""}"
1,1ce90634deea64fcdf4fd30661bd625c8cbd6eac,,+4929329318338,DEXTER  PLZ 4+5,not a care facility,not a care facility,no sale,0.9,"{""quote"": ""Wir sind hier keine Einrichtung, was möchten Sie denn?""}"
1,3003c251a0bf600f2be7646864e80744e6ab9c38,,+496253932493,DEXTER  PLZ 3+6,not a care facility,not a care facility,no sale,0.9,"{""quote"": ""Da wir keine Pflegeeinrichtung sind""}"
1,4e5db8a2616b54b7c9d7be15c56dbbd29d6b4ea6,,+49203453311,Dexter  PLZ 4-9,not a care facility,not a care facility,wrong contact reached,0.9,"{""quote"": ""Hier ist keine Heimleitung""}"
1,b95b808f3b75d758d9d19ef8aaf95a7b74ebd5f9,,+49926162150,DEXTER  PLZ 9,not a care facility,not a care facility,no sale,0.95,"{""quote"": ""Wir sind keine Pflegeeinrichtung und da haben wir auch kein Interesse dran.""}"
1,ba8cecbbe13db041ba6aab7b08e4d57827cf0065,,+492143106721,DEXTER  PLZ 4+5,not a care facility,not a care facility,gatekept,0.9,"{""quote"": ""Hier gibt es regulär keine Pflegeeinrichtung mehr""}"
1,eca5b885387a016bd26c993768449bb192d14748,,+492289266988,DEXTER  PLZ 4+5,not a care facility,not a care facility,disqualified lead,0.9,"{""quote"": ""Wir bieten da keine Pflegeeinrichtung.""}"
1,fbf686d372f71b34f3acd63e5a96f27c5015e982,,+49405226611,Dexter PLZ 1-2-8,not a care facility,not a care facility; no medical services,no sale,0.9,"{""quote"": ""wir sind eine Wohnanlage ohne medizinische Versorgung.""}"
1,a3a3c9b2b92f3414acfd35a4af5d960397ee896f,,+493320150700,Dexter PLZ 1-2-8,not a care home,not a care home,wrong contact,0.9,"{""quote"": ""Wir sind kein Heim, wir sind ein betreutes Wohnen""}"
